id,codigo,nombre,ubicacion
PA635,PA635,San Ignacio / esq. Centenario,POINT(-70.65408694733232 -33.476467963614844)
PH1459,PH1459,San Ignacio / esq. Av.Carlos Valdovinos,POINT(-70.6539350385407 -33.47864996124801)
PH103,PH103,Av. Alc. Carlos Valdovinos / esq. Av. J. J. Prieto Vial,POINT(-70.65498991660131 -33.47867707164996)
PH104,PH104,Av. Alc. Carlos Valdovinos / esq. Los Talaveras,POINT(-70.65785200260666 -33.47872900276639)
PH1473,PH1473,Av. Alc. Carlos Valdovinos / esq. Juan de Bastidas,POINT(-70.66025099816837 -33.47878199612224)
PH105,PH105,Av. Alc. Carlos Valdovinos / esq. Urzúa,POINT(-70.66236500064986 -33.47867799950257)
PH106,PH106,Parada 2 / (M) P. Aguirre Cerda,POINT(-70.66446198105965 -33.47860595756037)
PH107,PH107,Av. Alc. Carlos Valdovinos / esq. Ramírez,POINT(-70.66890107677125 -33.478601088344135)
PA659,PA659,Av. Alc. Carlos Valdovinos / esq. Belén,POINT(-70.6719130011812 -33.47842100137674)
PA574,PA574,Av. Alc. Carlos Valdovinos / esq. Valenzuela Llanos,POINT(-70.67626199542649 -33.47835799709374)
PA573,PA573,Av. Alc. Carlos Valdovinos / esq. Central Nino García,POINT(-70.67889199535239 -33.478325997878144)
PH108,PH108,Parada 2 / (M) Lo Valledor,POINT(-70.6812920861963 -33.47823393551452)
PH109,PH109,Av. Alc. Carlos Valdovinos / esq. Avenida 1,POINT(-70.68662777078482 -33.47811098456512)
PI1327,PI1327,Av. Alc. Carlos Valdovinos / esq. Av. P. Aguirre Cerda,POINT(-70.69022500271298 -33.478139001080926)
PI179,PI179,Av. Pedro Aguirre Cerda / esq. Los Cisnes,POINT(-70.691705472169 -33.478945029884194)
PI180,PI180,Parada 1 / Escuela P. Aguirre Cerda,POINT(-70.69394860571686 -33.48133502089434)
PI181,PI181,Parada 1 / (M) Cerrillos,POINT(-70.69625998516348 -33.484060986842906)
PI1616,PI1616,Parada 1 / Museo Aeronáutico,POINT(-70.69852899580285 -33.48630000392807)
PI1617,PI1617,Parada 1 / Comando Logístico FACH,POINT(-70.7007530017954 -33.48877099893221)
PI1618,PI1618,Parada 1 / P. Aguirre Cerda Altura del 5800,POINT(-70.70301534375956 -33.491567328757654)
PI1619,PI1619,Parada 1 / Centro Cívico Cerrillos,POINT(-70.70497099709041 -33.49410699569348)
PI1620,PI1620,Av. Pedro Aguirre Cerda / esq. Salomón Sack,POINT(-70.70689730072542 -33.496804254367575)
PI1621,PI1621,Av. Pedro Aguirre Cerda / esq. Av. Lo Errázuriz,POINT(-70.70886552871796 -33.49946398150701)
PI1622,PI1622,Parada 1 / Colegio Don Orione,POINT(-70.71179596354204 -33.504246434788556)
PI23,PI23,Parada 1 / El Mirador,POINT(-70.71335800315717 -33.50537099629764)
PI1271,PI1271,Camino a Melipilla / esq. Miguel Socías,POINT(-70.71635899715125 -33.507348002287785)
PI137,PI137,Parada 1 / Villa Sta. Adela,POINT(-70.71917378886883 -33.50846380534531)
PA35,PA35,Parada 1 / (M) Toesca,POINT(-70.65892800099085 -33.45315599785994)
PA840,PA840,Parada 2 / Museo Militar,POINT(-70.65723658658908 -33.45620569852916)
PA38,PA38,Parada 1 / (M) Rondizzoni,POINT(-70.65669500274882 -33.4697930015505)
PA39,PA39,Parada 1 / Centro de Justicia,POINT(-70.65557257795007 -33.4730418583279)
PA354,PA354,Parada 5 / Estación Mapocho,POINT(-70.65005599661858 -33.43289299588114)
PA774,PA774,Parada 14 / (M) Santa Ana,POINT(-70.65849430888714 -33.436868930733176)
PA424,PA424,Santo Domingo / esq. Almirante Barroso,POINT(-70.66238145163624 -33.43734299837441)
PA271,PA271,Parada / Plaza Brasil,POINT(-70.66510328159937 -33.44071094811016)
PA272,PA272,Avenida Brasil / esq. Moneda,POINT(-70.66519800371698 -33.44307499513934)
PA279,PA279,San Alfonso / esq. Lincoln,POINT(-70.67473299966652 -33.45942899504423)
PA280,PA280,San Alfonso / esq. Fray Luis de La Peña,POINT(-70.67400999499586 -33.46255900095686)
PA281,PA281,San Alfonso / esq. Espiñeira,POINT(-70.67345199409769 -33.46484399794222)
PA285,PA285,El Mirador / esq. Av. Pedro Montt,POINT(-70.66532003826006 -33.473257359206826)
PH293,PH293,Parada 3 / (M) P. Aguirre Cerda,POINT(-70.66485400440936 -33.47837998904801)
PH296,PH296,Parada / Parque André Jarlan,POINT(-70.67225200409983 -33.48535600258017)
PH297,PH297,Clotario Blest / esq. Ramona Parra,POINT(-70.67382657446085 -33.488592133773075)
PH298,PH298,Clotario Blest / esq. 30 de Octubre,POINT(-70.674693876165 -33.4903271384149)
PH299,PH299,Clotario Blest / esq. Av. Departamental,POINT(-70.6762636916737 -33.49350671753031)
PH300,PH300,Clotario Blest / esq. Bombero Ossandón,POINT(-70.67819876411282 -33.49720104050653)
PH301,PH301,Clotario Blest / esq. Huamalata,POINT(-70.67953400373112 -33.49973999841956)
PH302,PH302,Parada 1 / Liceo Julio Chaná Cariola,POINT(-70.68081000133387 -33.50220600233353)
PH303,PH303,Clotario Blest / esq. Avenida Lo Ovalle,POINT(-70.68259255228642 -33.505661305678366)
PH321,PH321,Clotario Blest / esq. México,POINT(-70.68664799436107 -33.519132002974885)
PH322,PH322,Clotario Blest / esq. Av.Pdte. S.Allende,POINT(-70.68603897747545 -33.51654103919158)
PH800,PH800,Parada 3 / Est. Lo Espejo,POINT(-70.6853963108995 -33.513579118401275)
PH323,PH323,Clotario Blest / esq. La Calera,POINT(-70.68513600162406 -33.512371998949476)
PH324,PH324,Clotario Blest / esq. Pasaje 46,POINT(-70.68405800416483 -33.5089229978147)
PH325,PH325,Clotario Blest / esq. Avenida Lo Ovalle,POINT(-70.68296800478547 -33.506592997155565)
PH326,PH326,Parada 2 / Liceo Julio Chaná Cariola,POINT(-70.68103848667552 -33.50288405831953)
PH327,PH327,Clotario Blest / esq. Pirihueico,POINT(-70.67965800216686 -33.50018999894732)
PH328,PH328,Clotario Blest / esq. Vecinal,POINT(-70.67857300042488 -33.49812499981385)
PH329,PH329,Clotario Blest / esq. Av. Departamental,POINT(-70.6766265002826 -33.49452157900531)
PH330,PH330,Clotario Blest / esq. Avenida La Marina,POINT(-70.67489200369694 -33.490959995885504)
PH331,PH331,Clotario Blest / esq. Ramona Parra,POINT(-70.67389239914957 -33.48894223088087)
