id,nombre,destino,tipo,frecuencias
124,124,(M) Macul,3,"[[3600, 19800, 4050], [19800, 23400, 514], [19800, 27000, 1028], [23400, 28800, 490], [23400, 32400, 642], [27000, 46800, 860], [28800, 34200, 600], [32400, 43200, 720], [34200, 45000, 720], [43200, 54000, 720], [45000, 50400, 600], [46800, 64800, 947], [50400, 59400, 750], [54000, 70200, 952], [59400, 66600, 720], [64800, 75600, 981], [66600, 73800, 720], [70200, 79200, 1125], [73800, 79200, 771], [75600, 79200, 1200], [79200, 86400, 1200]]"
125,125,(M) U. De Chile,3,"[[3600, 19800, 16200], [19800, 23400, 900], [19800, 27000, 1028], [23400, 28800, 600], [23400, 32400, 818], [27000, 46800, 900], [28800, 34200, 675], [32400, 43200, 900], [34200, 45000, 720], [43200, 54000, 900], [45000, 50400, 675], [46800, 64800, 900], [50400, 59400, 750], [54000, 70200, 900], [59400, 66600, 720], [64800, 75600, 900], [66600, 73800, 720], [70200, 79200, 1125], [73800, 79200, 900], [75600, 79200, 1200], [79200, 86400, 1800]]"
126,126,(M) Manuel Montt,3,"[[19800, 23400, 720], [23400, 28800, 600], [28800, 34200, 675], [34200, 45000, 720], [45000, 50400, 771], [50400, 59400, 692], [59400, 66600, 600], [66600, 73800, 654], [73800, 79200, 900]]"
201,201,San Bernardo,3,"[[0, 3600, 1200], [3600, 19800, 1349], [19800, 23400, 450], [19800, 27000, 553], [23400, 28800, 450], [23400, 32400, 600], [27000, 46800, 660], [28800, 34200, 450], [32400, 43200, 540], [34200, 45000, 514], [43200, 54000, 490], [45000, 50400, 540], [46800, 64800, 529], [50400, 59400, 529], [54000, 70200, 558], [59400, 66600, 514], [64800, 75600, 568], [66600, 73800, 553], [70200, 79200, 818], [73800, 79200, 675], [75600, 79200, 900], [79200, 86400, 800]]"
201e,201e,(M) Santa Ana,3,"[[19800, 23400, 360], [19800, 27000, 1028], [23400, 28800, 337], [23400, 32400, 900], [27000, 46800, 900], [28800, 34200, 540], [32400, 43200, 900], [34200, 45000, 600], [43200, 54000, 900], [45000, 50400, 490], [46800, 64800, 900], [50400, 59400, 600], [54000, 70200, 900], [59400, 66600, 313], [64800, 75600, 830], [66600, 73800, 342], [70200, 79200, 900], [73800, 79200, 600], [75600, 79200, 1200], [79200, 86400, 1200]]"
203,203,Av. Recoleta,3,"[[19800, 23400, 450], [19800, 27000, 800], [23400, 28800, 415], [23400, 32400, 529], [27000, 46800, 761], [28800, 34200, 490], [32400, 43200, 600], [34200, 45000, 675], [43200, 54000, 635], [45000, 50400, 600], [46800, 64800, 818], [50400, 59400, 750], [54000, 70200, 704], [59400, 66600, 553], [64800, 75600, 771], [66600, 73800, 600], [70200, 79200, 692], [73800, 79200, 900], [75600, 79200, 720], [79200, 86400, 1028]]"
203N,203n,La Pintana,3,"[[0, 3600, 1200], [3600, 19800, 1620]]"
203e,203e,Centro,3,"[[19800, 23400, 400], [23400, 28800, 360], [28800, 34200, 385], [59400, 66600, 514], [66600, 73800, 480], [73800, 79200, 1080]]"
204,204,Pie Andino,3,"[[19800, 23400, 514], [19800, 27000, 1028], [23400, 28800, 415], [23400, 32400, 750], [27000, 46800, 761], [28800, 34200, 360], [32400, 43200, 720], [34200, 45000, 360], [43200, 54000, 514], [45000, 50400, 360], [46800, 64800, 720], [50400, 59400, 391], [54000, 70200, 771], [59400, 66600, 423], [64800, 75600, 771], [66600, 73800, 514], [70200, 79200, 692], [73800, 79200, 675], [75600, 79200, 720], [79200, 86400, 800]]"
204N,204n,Pie Andino,3,"[[0, 3600, 1200], [3600, 19800, 1800]]"
205,205,Puente Alto,3,"[[0, 3600, 1200], [19800, 23400, 900], [19800, 27000, 1200], [23400, 28800, 490], [23400, 32400, 750], [27000, 46800, 1164], [28800, 34200, 540], [32400, 43200, 900], [34200, 45000, 720], [43200, 54000, 900], [45000, 50400, 771], [46800, 64800, 1200], [50400, 59400, 692], [54000, 70200, 900], [59400, 66600, 514], [64800, 75600, 1200], [66600, 73800, 553], [70200, 79200, 1125], [73800, 79200, 771], [75600, 79200, 1200], [79200, 86400, 1200]]"
